Quarter,Year,Method,Luncheon,Parent,Alumni,Board,Amount
Q1,2019,Check,Yes,No,Yes,No,500
Q2,2019,Credit,No,Yes,No,No,250
Q3,2019,Online,Yes,No,Yes,Yes,1000
Q4,2019,Cash,No,No,No,No,100
Q1,2020,Check,Yes,Yes,Yes,No,750
Q2,2020,Credit,No,No,Yes,No,300
Q3,2020,Online,Yes,Yes,No,Yes,2000
Q4,2020,Cash,No,No,No,No,150
Q1,2021,Check,Yes,No,Yes,No,600
Q2,2021,Credit,No,Yes,No,No,200
Q3,2021,Online,Yes,No,Yes,Yes,1500
Q4,2021,Cash,No,No,No,No,75
Q1,2022,Check,Yes,Yes,Yes,No,800
Q2,2022,Credit,No,No,Yes,No,350
Q3,2022,Online,Yes,Yes,No,Yes,2500
Q4,2022,Cash,No,No,No,No,125
Q1,2023,Check,Yes,No,Yes,No,700
Q2,2023,Credit,No,Yes,No,No,275
Q3,2023,Online,Yes,No,Yes,Yes,1750
Q4,2023,Cash,No,No,No,No,90
