Distance,GPA,Class,Gender,Ethnicity,Low-income,Sector,Churned
5,3.2,Freshman,Male,Hispanic,1,Private,0
12,2.8,Sophomore,Female,White,0,Public,1
3,3.7,Junior,Male,Asian,0,Nonprofit,0
18,2.5,Senior,Female,Black,1,Private,1
7,3.1,Freshman,Female,Hispanic,1,Public,0
15,2.9,Sophomore,Male,White,0,Private,1
2,3.8,Junior,Female,Asian,0,Nonprofit,0
20,2.4,Senior,Male,Black,1,Public,1
6,3.4,Freshman,Male,Hispanic,0,Private,0
11,2.7,Sophomore,Female,White,1,Public,1
4,3.6,Junior,Male,Asian,0,Nonprofit,0
16,2.6,Senior,Female,Hispanic,1,Private,1
8,3.0,Freshman,Female,White,0,Public,0
13,2.8,Sophomore,Male,Black,1,Nonprofit,1
1,3.9,Junior,Female,Asian,0,Private,0
19,2.3,Senior,Male,White,1,Public,1
9,3.3,Freshman,Female,Hispanic,0,Nonprofit,0
14,2.7,Sophomore,Male,Black,1,Private,1
10,3.5,Junior,Female,White,0,Public,0
17,2.5,Senior,Male,Asian,1,Nonprofit,1
